               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1349,             0.01037,            0.078175,           0.0016397,            0.031746,          0.00086426,          0.00013823,             0.13378,           0.0087571,            0.075146,               0.091,               0.001,               0.001
                   1,             0.12753,            0.011037,            0.065467,            0.010249,            0.011905,           0.0067399,           0.0024048,             0.12605,            0.008598,            0.057367,            0.081092,           0.0020917,           0.0020917
                   2,             0.12293,            0.010894,            0.048078,            0.021055,            0.031746,           0.0040104,          0.00090627,             0.12001,           0.0079298,            0.028481,            0.071175,           0.0031747,           0.0031747
                   3,              0.1174,            0.010492,            0.025047,             0.11682,            0.051587,            0.024038,           0.0048211,             0.11833,           0.0073398,            0.012686,            0.061249,           0.0042489,           0.0042489
                   4,             0.11043,            0.010786,            0.011527,            0.011364,            0.027778,           0.0033932,           0.0011084,             0.11701,           0.0075831,           0.0071388,            0.051314,           0.0053145,           0.0053145
                   5,             0.10987,            0.010805,           0.0084369,              0.1086,            0.059524,            0.020825,           0.0053073,             0.11463,           0.0073876,           0.0047506,            0.041371,           0.0063713,           0.0063713
                   6,             0.10738,            0.010342,           0.0066628,            0.053196,            0.075397,            0.011618,           0.0025348,             0.11047,           0.0071308,           0.0041452,            0.031419,           0.0074194,           0.0074194
                   7,             0.10374,           0.0097282,           0.0063519,            0.047677,             0.15873,            0.017389,           0.0052058,             0.10378,             0.00673,           0.0036198,            0.021459,           0.0084588,           0.0084588
                   8,             0.10055,            0.010494,            0.005649,             0.34887,            0.099206,            0.088502,            0.022461,             0.11458,           0.0055456,           0.0035713,             0.01149,           0.0094895,           0.0094895
                   9,            0.098084,            0.010715,           0.0053302,             0.35287,             0.15873,             0.12457,            0.029473,            0.097793,           0.0064899,           0.0036656,           0.0096436,           0.0096436,           0.0096436
                  10,            0.097613,            0.010053,            0.005174,             0.18812,             0.15873,            0.090816,            0.017346,             0.10053,           0.0060747,            0.003598,           0.0096436,           0.0096436,           0.0096436
                  11,            0.095299,            0.010362,           0.0053289,             0.34671,             0.30116,             0.21917,            0.046269,            0.087776,           0.0069157,            0.003867,            0.009604,            0.009604,            0.009604
